,no,no_sqrt
349,4.606406666666667,2.1462541011414906
350,4.134953333333333,2.033458466094976
351,2.75875,1.660948524187309
352,3.485493333333333,1.8669475979077006
353,7.072473333333334,2.6594122157599664
354,4.985485,2.2328199658727526
355,6.7906,2.605877971049297
356,19.62885,4.43044580149673
357,23.07045,4.80317082769289
358,13.60492,3.6884847837560617
359,12.323493333333332,3.510483347536822
360,10.14305,3.184815536259518
361,5.816407333333333,2.411722897294242
362,5.323861,2.307349345027753
363,3.3146555,1.820619537410274
364,3.511011,1.873769196032425
365,4.401615,2.09800262154269
366,2.3053,1.5183214415926556
367,19.77066,4.446421032695847
368,34.09825,5.8393706852708025
369,31.865160000000003,5.6449233830053
370,30.87073,5.5561434466723405
371,22.970973333333333,4.79280432871334
372,12.343163333333337,3.5132838389935612
373,6.3551,2.5209323672006754
374,3.1857166666666665,1.7848576040308275
375,3.7611266666666654,1.9393624381911354
376,6.13907,2.4777146728386623
377,6.32565,2.515084491622498
378,6.66318,2.581313619070724
379,23.9079,4.8895705332881745
380,26.7744,5.174398515769732
381,20.67963,4.547486118725377
382,18.583636666666667,4.310874234614908
383,16.082063333333334,4.0102447971830015
384,12.551403666666666,3.5427960238583687
385,13.40605,3.6614273173176604
386,8.6137,2.934910560817825
387,3.636386666666666,1.906931217078022
388,3.8694926666666665,1.9671026070509556
389,6.28819,2.507626367703131
390,10.720223333333337,3.274175214207898
391,27.300666666666668,5.225003987239308
392,36.4861,6.040372505069534
393,49.381863333333335,7.0272230171905985
394,106.196,10.305144346393213
395,47.218205,6.871550407295285
396,5.958,2.440901472816959
397,21.448376666666665,4.631239215012183
398,17.52804833333333,4.186651207508613
399,13.60772,3.6888643238807255
400,10.005676666666666,3.1631750926350355
401,10.581826666666666,3.252971974466836
402,16.840903333333333,4.103766968692708
403,30.51075,5.523653682120196
404,24.29572,4.929068877587328
405,34.43645,5.868257833463011
406,22.760346666666667,4.770780509168984
407,27.1493,5.210499016409081
408,25.53653333333333,5.053368513509907
409,18.174200000000003,4.263120922516743
410,19.4865,4.414351594515326
411,10.493729666666669,3.2394026712754727
412,9.794274,3.1295804830679783
413,14.27447,3.77815695809478
414,20.304106666666662,4.506007841389833
415,51.7228,7.191856505798763
416,99.2061,9.960225901052647
417,118.258,10.874649419636478
418,43.237073333333335,6.5754903492692724
419,27.37219333333333,5.23184416179738
420,11.776243333333332,3.431653148751099
421,7.104593333333334,2.665444303175989
422,4.21668,2.0534556240639827
423,4.5411,2.1309856874226067
424,3.266306666666667,1.807292634485812
425,3.77516,1.942977097137277
426,4.095273333333334,2.02367816940672
427,5.7378,2.395370535011233
428,4.816978000000001,2.1947614904585877
429,7.825293333333334,2.7973725767822444
430,11.35834,3.3702136430796195
431,12.296679999999997,3.50666223066893
432,7.406106666666666,2.721416297935078
433,8.2775,2.8770644761631603
434,3.980163333333333,1.995034669707104
435,4.817799999999999,2.194948746554233
436,7.253726666666666,2.6932743392878984
437,9.301126666666669,3.0497748550781036
438,14.119666666666667,3.757614491491466
439,28.340106666666667,5.323542680083129
440,19.73950333333333,4.442916084435236
441,11.1389,3.3374990636702804
442,9.97169,3.1577982836147087
443,17.31342666666667,4.160940598790935
444,7.714933333333334,2.7775768816242214
445,4.98609,2.2329554406660246
446,5.502023333333334,2.345639216361573
447,4.418666666666667,2.1020624792490508
